"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"713","David Pastrnak","BOS","R","66","1237.75","38","43","28","15","81","75.00","235","16.17","22.31","431","339","198","74","18","17","32","15","15","0","0","32","90","36","57","114","25","1","2","33.33"
"371","Tyler Seguin","DAL","C","82","1701.3666666667","33","47","32","15","80","72.73","334","9.88","33.08","566","432","307","125","7","48","18","9","9","0","0","17","55","47","74","33","47","676","579","53.86"
"47","Patrice Bergeron","BOS","C","65","1200.3666666667","32","47","26","21","79","69.30","205","15.61","25.04","369","299","228","95","13","17","30","15","15","0","0","14","27","42","43","46","60","786","603","56.59"
"647","Elias Lindholm","CGY","C","81","1623.1166666667","27","51","26","25","78","62.40","182","14.84","20.08","311","246","172","88","9","25","20","9","9","0","0","13","46","50","82","69","39","509","428","54.32"
"257","Ryan O'Reilly","STL","C","82","1701.6833333333","28","49","28","21","77","70.00","234","11.97","24.62","368","305","247","111","10","24","12","6","6","0","0","22","33","94","31","51","36","1086","824","56.86"
"859","Matthew Tkachuk","CGY","L","80","1407.9166666667","34","43","26","17","77","71.30","207","16.43","25.32","344","273","208","126","8","30","60","23","20","2","1","32","56","42","104","101","13","6","7","46.15"
"465","Sean Couturier","PHI","C","80","1770.1666666667","33","43","27","16","76","63.87","223","14.80","26.03","385","318","239","117","7","27","34","13","12","0","1","25","48","47","40","101","60","755","568","57.07"
"521","Teuvo Teravainen","CAR","L","82","1469.2166666667","21","55","36","19","76","77.55","167","12.57","16.69","318","245","161","68","8","24","12","6","6","0","0","6","64","55","35","53","23","18","25","41.86"
"602","Jake Guentzel","PIT","C, L","82","1586.75","40","36","17","19","76","69.09","227","17.62","24.86","375","302","263","134","10","22","26","13","13","0","0","21","42","45","105","170","47","10","20","33.33"
"869","Alex DeBrincat","CHI","L, R","82","1451.4","41","35","17","18","76","66.67","220","18.64","21.45","404","299","257","75","11","15","15","6","5","1","0","11","50","51","35","96","26","16","19","45.71"
"458","Gabriel Landeskog","COL","L","73","1543.85","34","41","23","18","75","61.98","243","13.99","25.03","363","320","222","135","4","20","51","22","21","1","0","25","47","46","120","102","64","361","333","52.02"
"58","Mark Giordano","CGY","D","78","1890.65","17","57","25","32","74","51.39","221","7.69","11.9","490","334","113","22","6","35","69","32","31","1","0","13","65","73","58","141","144","0","0","-"
"134","Nicklas Backstrom","WSH","C","80","1596.2166666667","22","52","30","22","74","64.91","169","13.02","18.35","287","226","173","77","4","25","30","15","15","0","0","13","62","53","54","80","30","700","739","48.64"
"463","Mika Zibanejad","NYR","C","82","1685.8","30","44","25","19","74","75.51","236","12.71","19.5","392","316","170","69","13","14","47","17","15","1","1","16","69","69","134","131","66","831","842","49.67"
"520","Tomas Hertl","S.J","C","77","1464.5166666667","35","39","24","15","74","65.49","176","19.89","26.02","309","250","224","133","11","17","18","9","9","0","0","19","44","57","53","112","64","609","574","51.48"
"71","David Krejci","BOS","C","81","1431.9333333333","20","53","31","22","73","78.49","139","14.39","13.25","241","203","138","53","12","9","16","8","8","0","0","17","44","54","28","80","24","530","565","48.40"
