"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"747","Danton Heinen","BOS","C","77","1075.7333333333","11","23","18","5","34","65.38","114","9.65","11.52","209","160","115","54","6","9","16","8","8","0","0","8","32","43","54","68","36","2","10","16.67"
"972","Jesperi Kotkaniemi","MTL","C","79","1085.5833333333","11","23","14","9","34","73.91","134","8.21","10.48","261","180","121","44","11","11","26","13","13","0","0","16","50","32","66","94","41","359","426","45.73"
"34","Jeff Carter","L.A","C","76","1379.9666666667","13","20","10","10","33","55.00","174","7.47","19.4","329","259","183","87","12","30","42","21","21","0","0","10","40","23","80","44","30","607","577","51.27"
"48","Shea Weber","MTL","D","58","1360.4333333333","14","19","8","11","33","47.83","166","8.43","6.72","339","251","39","6","7","25","28","14","14","0","0","2","67","17","129","45","110","0","0","-"
"285","Richard Panik","ARI","R","75","1245.6333333333","14","19","11","8","33","57.89","140","10.00","16.58","253","191","142","76","12","25","44","22","22","0","0","15","39","46","137","108","52","5","13","27.78"
"293","Casey Cizikas","NYI","C","73","1023.7333333333","20","13","10","3","33","75.00","111","18.02","11.86","170","139","110","64","10","8","36","14","13","0","1","18","34","44","129","95","68","497","516","49.06"
"462","Ryan Strome","NYR","C","63","1001.7833333333","18","15","10","5","33","70.21","80","22.50","10.01","140","109","88","35","2","9","50","18","15","2","1","9","47","27","53","40","31","266","298","47.16"
"751","Oskar Lindblom","PHI","L","81","1113.25","17","16","12","4","33","67.35","162","10.49","18.44","253","207","164","96","7","16","18","9","9","0","0","17","28","26","68","84","52","3","7","30.00"
"768","Noah Hanifin","CGY","D","80","1661.8666666667","5","28","9","19","33","38.82","116","4.31","6.99","243","168","67","15","3","18","12","6","6","0","0","5","87","50","87","70","83","0","0","-"
"892","Jesper Bratt","N.J","L","51","773.55","8","25","14","11","33","80.49","91","8.79","7.12","140","119","76","26","5","12","6","3","3","0","0","11","24","17","36","50","22","4","3","57.14"
"932","Robert Thomas","STL","C","70","915.08333333333","9","24","12","12","33","70.21","80","11.25","8.29","126","99","93","43","3","9","14","7","7","0","0","5","30","36","13","75","22","97","123","44.09"
"936","Miro Heiskanen","DAL","D","82","1895.2833333333","12","21","11","10","33","41.25","182","6.59","10.64","364","243","127","24","7","26","16","8","8","0","0","8","96","35","34","150","71","0","0","-"
"945","Alex Iafallo","L.A","L","82","1380.0333333333","15","18","10","8","33","58.93","148","10.14","13.41","237","198","137","58","4","10","22","10","10","0","0","6","19","26","87","88","54","7","17","29.17"
"512","Scott Laughton","PHI","C","82","1217.8","12","20","11","9","32","66.67","130","9.23","15.53","211","173","124","67","10","21","53","21","19","1","1","20","42","42","146","64","46","344","291","54.17"
"513","Mark Jankowski","CGY","C","79","1003.9166666667","14","18","12","6","32","78.05","99","14.14","10.37","194","153","125","50","7","10","12","6","6","0","0","8","36","49","30","70","56","426","394","51.95"
"533","Esa Lindell","DAL","D","82","1994.7833333333","11","21","8","13","32","40.51","132","8.33","6.23","257","175","79","17","7","13","33","15","14","1","0","14","92","30","143","132","161","0","0","-"
"623","J.T. Compher","COL","L","66","1153.4","16","16","9","7","32","46.38","118","13.56","14.18","197","155","140","72","12","21","31","13","12","1","0","15","23","23","33","70","59","301","311","49.18"
"697","Kevin Fiala","NSH","L","64","962.98333333333","10","22","13","9","32","74.42","131","7.63","13.7","240","191","152","58","7","20","26","12","12","0","0","8","53","31","28","55","17","3","2","60.00"
"893","Mikhail Sergachev","T.B","D","75","1344.25","6","26","15","11","32","42.67","128","4.69","6.59","270","186","58","12","3","14","28","13","13","0","0","8","50","18","97","100","93","1","1","50.00"
"18","Jason Pominville","BUF","R","73","909.86666666667","16","15","8","7","31","67.39","134","11.94","12.82","198","168","117","64","5","11","4","2","2","0","0","5","20","13","18","55","20","18","17","51.43"
"20","Valtteri Filppula","NYI","C","72","1027.7833333333","17","14","10","4","31","65.96","78","21.79","8.21","121","98","84","43","9","5","16","8","8","0","0","16","27","36","12","56","34","398","413","49.08"
"57","Dustin Byfuglien","WPG","D","42","1023.0666666667","4","27","7","20","31","50.00","115","3.48","6.13","228","167","54","20","7","12","69","29","27","1","1","6","39","21","77","29","51","0","0","-"
"159","Paul Byron","MTL","L","56","815.73333333333","15","16","10","6","31","64.58","94","15.96","9.57","132","114","93","53","5","5","17","7","6","1","0","12","26","12","114","60","36","12","23","34.29"
"163","P.K. Subban","NSH","D","63","1427.85","9","22","12","10","31","42.47","168","5.36","5.78","306","226","45","2","3","23","60","26","25","0","1","17","57","22","56","67","75","0","0","-"
"208","Tyler Myers","WPG","D","80","1627.75","9","22","11","11","31","36.47","156","5.77","7.51","301","213","76","17","6","14","63","26","24","1","1","6","63","32","97","84","99","0","0","-"
"249","Antoine Roussel","VAN","L","65","894.33333333333","9","22","18","4","31","77.50","84","10.71","9.8","154","126","95","50","10","7","118","35","28","2","5","23","20","20","87","90","50","17","17","50.00"
"483","Vladislav Namestnikov","NYR","C","78","1231.8","11","20","14","6","31","54.39","119","9.24","13.55","206","147","135","75","5","17","44","18","17","0","1","20","46","32","140","133","62","22","32","40.74"
"532","Oskar Sundqvist","STL","C","74","1022.5833333333","14","17","10","7","31","79.49","113","12.39","14.7","206","165","130","66","4","8","22","11","11","0","0","19","10","41","101","108","31","227","314","41.96"
"556","Jaccob Slavin","CAR","D","82","1889.1","8","23","8","15","31","36.47","146","5.48","8.24","304","211","60","13","9","32","18","9","9","0","0","9","60","86","70","152","133","0","1","0.00"
"638","Artturi Lehkonen","MTL","L","82","1275.7166666667","11","20","13","7","31","53.45","176","6.25","16.82","291","225","179","88","12","14","32","16","16","0","0","15","28","46","120","165","39","5","14","26.32"
"655","Josh Morrissey","WPG","D","59","1321.9","6","25","9","16","31","40.79","95","6.32","5.51","188","131","52","9","3","7","14","7","7","0","0","7","32","33","55","76","107","0","0","-"
"695","Nick Ritchie","ANA","L","60","900.08333333333","9","22","16","6","31","62.00","96","9.38","11.51","177","149","115","66","3","11","82","29","26","0","3","7","34","20","123","76","31","4","8","33.33"
"921","Nolan Patrick","PHI","C","72","1085.95","13","18","7","11","31","65.96","115","11.30","14.41","203","163","129","67","4","17","27","12","11","1","0","22","26","40","72","92","26","399","380","51.22"
"140","Mathieu Perreault","WPG","C, L","82","1003.0333333333","15","15","5","10","30","60.00","95","15.79","9.87","169","136","103","48","5","5","44","22","22","0","0","15","17","31","127","62","25","26","27","49.06"
"211","Jake Gardiner","TOR","D","62","1315.2666666667","3","27","13","14","30","38.46","78","3.85","3.68","236","136","51","6","4","10","26","12","12","0","0","2","53","25","61","99","64","0","1","0.00"
"376","Nino Niederreiter","CAR","R","36","658.43333333333","14","16","7","9","30","66.67","103","13.59","14.4","184","152","130","77","5","14","20","10","10","0","0","9","21","29","48","80","7","10","14","41.67"
"383","Marcus Sorensen","S.J","L","80","1037.0166666667","17","13","7","6","30","57.69","100","17.00","12.94","169","138","127","68","4","12","23","10","9","1","0","22","21","33","88","77","29","12","19","38.71"
"527","Radek Faksa","DAL","C","81","1330.8166666667","15","15","12","3","30","63.83","114","13.16","16.86","199","163","131","89","6","7","54","24","22","2","0","23","29","42","103","115","65","570","562","50.35"
"547","Colton Sissons","NSH","C","75","1203.3166666667","15","15","8","7","30","50.00","111","13.51","14.9","197","160","138","69","9","6","23","10","9","1","0","6","25","35","109","91","52","421","372","53.09"
"583","Nate Schmidt","VGK","D","61","1339","9","21","10","11","30","34.09","112","8.04","6.39","232","154","61","9","6","17","8","4","4","0","0","3","39","45","37","68","100","0","0","-"
"593","Will Butcher","N.J","D","78","1503.4166666667","4","26","12","14","30","36.59","108","3.70","6.01","221","164","53","11","3","15","18","5","4","0","1","1","32","17","38","72","74","0","0","-"
"706","Tony DeAngelo","NYR","D","61","1178.9833333333","4","26","10","16","30","42.25","111","3.60","4.71","207","141","56","12","1","8","77","26","21","3","2","17","74","21","54","83","82","0","0","-"
"15","Mikko Koivu","MIN","C","48","878.26666666667","8","21","15","6","29","67.44","89","8.99","9.02","154","124","91","34","4","15","22","11","11","0","0","5","10","35","13","32","32","488","406","54.59"
"46","Loui Eriksson","VAN","L","81","1139.2666666667","11","18","8","10","29","74.36","107","10.28","11.82","170","145","105","59","9","10","22","11","11","0","0","6","10","29","3","53","28","2","4","33.33"
"116","Kyle Okposo","BUF","R","78","1075.25","14","15","9","6","29","58.00","147","9.52","12.03","232","186","121","53","6","9","41","18","17","1","0","11","27","17","87","81","27","63","71","47.01"
"281","Dmitry Orlov","WSH","D","82","1774.1833333333","3","26","11","15","29","36.71","101","2.97","5.29","232","150","67","9","2","11","33","15","14","1","0","11","80","53","137","84","103","0","0","-"
"485","Colin Miller","VGK","D","65","1276.9833333333","3","26","13","13","29","44.62","131","2.29","5.16","318","183","41","5","3","25","44","22","22","0","0","16","46","22","122","106","64","0","0","-"
"498","Ryan Murray","CBJ","D","56","1200.6","1","28","13","15","29","42.03","71","1.41","4.41","141","99","35","9","2","2","10","5","5","0","0","0","30","22","27","60","93","0","0","-"
"572","Connor Brown","TOR","R","82","1130.95","8","21","14","7","29","67.44","85","9.41","9.24","161","134","101","51","7","9","16","8","8","0","0","8","17","31","35","97","37","20","31","39.22"
"642","Brett Pesce","CAR","D","73","1495.85","7","22","12","10","29","38.16","98","7.14","4.97","195","134","49","10","5","12","24","12","12","0","0","10","30","54","53","107","131","1","0","100.00"
"827","Evan Rodrigues","BUF","L","74","1170.95","9","20","15","5","29","55.77","168","5.36","9.86","282","224","112","42","9","16","25","11","10","1","0","23","39","34","33","66","33","304","351","46.41"
"858","Brandon Tanev","WPG","L","80","1128.8166666667","14","15","11","4","29","78.38","127","11.02","11.54","219","173","122","54","7","13","41","12","8","3","1","27","18","22","278","173","81","3","5","37.50"
"36","Brent Seabrook","CHI","D","78","1489.55","5","23","10","13","28","42.42","165","3.03","7.19","303","206","66","9","7","15","41","19","18","1","0","11","72","19","124","88","180","0","0","-"
"126","Jordan Staal","CAR","C","50","914.23333333333","11","17","8","9","28","62.22","121","9.09","16.12","197","159","143","76","5","25","26","13","13","0","0","10","24","40","122","87","18","571","452","55.82"
"156","Kevin Shattenkirk","NYR","D","73","1382.6","2","26","14","12","28","50.00","148","1.35","6.27","291","193","72","10","6","12","20","10","10","0","0","7","55","39","73","108","104","0","0","-"
"157","Pat Maroon","STL","L","74","1048.55","10","18","10","8","28","47.46","118","8.47","14.12","203","164","137","82","0","17","64","23","17","6","0","19","21","25","135","94","7","2","3","40.00"
"196","Zack Smith","OTT","L","70","1144.65","9","19","13","6","28","71.79","101","8.91","9.48","174","139","90","46","5","10","81","32","28","3","1","17","47","42","136","96","27","403","417","49.15"
"343","Charlie Coyle","MIN","C","60","1023.4","10","18","9","9","28","50.91","113","8.85","11.39","193","158","112","64","4","15","16","8","8","0","0","12","26","31","61","42","45","226","265","46.03"
"477","Oscar Klefbom","EDM","D","61","1462.7","5","23","9","14","28","42.42","167","2.99","7.97","331","227","65","17","2","13","16","8","8","0","0","3","51","26","44","109","102","0","0","-"
"501","Hampus Lindholm","ANA","D","76","1823.6","6","22","7","15","28","35.44","125","4.80","7.78","269","179","71","11","5","16","44","22","22","0","0","9","85","23","81","107","133","0","0","-"
"529","Colton Parayko","STL","D","80","1822.6833333333","10","18","7","11","28","33.33","176","5.68","6.96","352","256","61","7","5","15","15","6","5","1","0","13","43","33","127","130","157","0","0","-"
"717","Adrian Kempe","L.A","C","81","1174.5166666667","12","16","8","8","28","70.00","118","10.17","9.43","215","160","114","38","0","10","50","20","19","0","1","15","24","20","86","54","21","315","424","42.63"
"741","Lucas Wallmark","CAR","C","81","1198.15","10","18","9","9","28","63.64","131","7.63","14.74","224","177","136","64","5","22","36","18","18","0","0","7","32","33","82","59","39","575","554","50.93"
"805","Anthony Beauvillier","NYI","C, L","81","1186.0166666667","18","10","4","6","28","54.90","156","11.54","19.32","247","204","198","111","13","13","8","4","4","0","0","17","30","34","87","130","35","26","31","45.61"
"840","Dominik Simon","PIT","C","71","946.06666666667","8","20","12","8","28","60.87","121","6.61","10.88","206","161","114","59","9","12","18","9","9","0","0","14","33","33","89","86","19","6","13","31.58"
"865","Charlie McAvoy","BOS","D","54","1197.3333333333","7","21","13","8","28","38.36","79","8.86","5","156","111","53","13","4","8","45","20","19","1","0","14","54","30","92","127","91","0","0","-"
"9","Niklas Kronwall","DET","D","79","1576.45","3","24","12","12","27","36.00","71","4.23","3.02","124","86","24","3","1","8","40","20","20","0","0","6","59","12","84","61","96","0","0","-"
"14","Jason Spezza","DAL","C","76","1008.5333333333","8","19","11","8","27","51.92","121","6.61","10.31","215","164","101","48","7","9","29","13","12","1","0","7","53","26","16","39","30","470","337","58.24"
"25","Alexander Steen","STL","L","65","1029.6833333333","10","17","9","8","27","58.70","114","8.77","9.32","186","146","109","47","5","10","14","7","7","0","0","18","16","34","55","73","50","11","18","37.93"
"51","Brad Richardson","ARI","C","66","1053.4166666667","19","8","7","1","27","62.79","128","14.84","12.61","215","166","114","55","10","14","22","11","11","0","0","4","21","27","63","86","55","577","474","54.90"
"70","Alex Goligoski","ARI","D","76","1581.8833333333","3","24","12","12","27","38.57","102","2.94","4.22","231","144","45","7","10","10","16","8","8","0","0","9","59","19","79","105","154","1","0","100.00"
"191","Wayne Simmonds","PHI","R","62","1025.9833333333","16","11","9","2","27","56.25","136","11.76","20.07","234","189","166","105","6","19","90","26","20","2","4","18","29","22","113","69","21","4","12","25.00"
"205","Colin Wilson","COL","C","65","881.56666666667","12","15","4","11","27","58.70","104","11.54","10.32","171","140","111","53","3","5","8","4","4","0","0","14","10","16","55","64","31","20","32","38.46"
"255","Marcus Johansson","N.J","L","48","789.45","12","15","10","5","27","64.29","103","11.65","10.35","168","133","103","48","11","9","8","4","4","0","0","9","34","27","23","66","18","14","30","31.82"
"428","Nick Cousins","ARI","C","81","1097.1166666667","7","20","12","8","27","58.70","144","4.86","12.76","234","179","125","59","9","20","35","16","15","1","0","24","22","39","115","156","51","243","277","46.73"
"515","Mike Matheson","FLA","D","75","1673.85","8","19","10","9","27","36.49","129","6.20","5.16","235","161","72","21","8","6","44","17","16","0","1","9","135","64","63","106","132","0","1","0.00"
"689","Sam Bennett","CGY","C","71","943.58333333333","13","14","11","3","27","60.00","115","11.30","14.25","206","163","147","82","5","13","93","31","24","5","2","27","38","25","121","82","27","50","40","55.56"
"693","William Nylander","TOR","R","54","837.85","7","20","10","10","27","62.79","130","5.38","12","246","190","160","58","8","12","16","7","7","0","0","13","25","28","16","60","14","203","165","55.16"
"715","Nikolay Goldobin","VAN","R","63","944.35","7","20","10","10","27","57.45","105","6.67","9.59","183","159","113","36","7","6","18","9","9","0","0","13","33","20","15","36","21","0","0","-"
"888","Samuel Girard","COL","D","82","1631.1833333333","4","23","13","10","27","31.76","116","3.45","5.26","279","153","71","7","3","20","6","3","3","0","0","19","44","25","65","113","90","1","0","100.00"
"66","Mike Green","DET","D","43","932.3","5","21","7","14","26","55.32","92","5.43","4.4","174","133","56","9","2","11","28","14","14","0","0","2","49","16","60","70","56","0","0","-"
"118","Leo Komarov","NYI","C, R","82","1139.1","6","20","11","9","26","55.32","78","7.69","8.51","142","117","81","45","9","4","42","21","21","0","0","14","26","28","203","68","38","84","100","45.65"
"237","Matt Calvert","COL","L","82","1163.7333333333","11","15","11","4","26","61.90","141","7.80","12.5","212","168","137","66","10","16","58","20","14","6","0","18","20","43","115","111","51","41","53","43.62"
"272","Zack Kassian","EDM","R","79","1169.35","15","11","7","4","26","48.15","111","13.51","12.29","170","138","118","65","4","15","102","29","21","4","4","13","48","35","191","70","15","0","6","0.00"
"274","Nick Leddy","NYI","D","82","1767.1","4","22","15","7","26","30.23","116","3.45","6.81","260","170","69","13","3","20","18","9","9","0","0","10","63","18","77","82","89","0","0","-"
"324","Calle Jarnkrok","NSH","C","79","1219","10","16","7","9","26","50.00","106","9.43","10","196","145","111","50","10","8","12","6","6","0","0","13","21","25","56","79","22","166","165","50.15"
"518","Cody Ceci","OTT","D","74","1669.5166666667","7","19","14","5","26","37.68","132","5.30","5.44","283","186","76","16","6","23","18","8","8","0","0","2","59","20","120","129","142","0","0","-"
"550","Brock McGinn","CAR","L","82","1173.3833333333","10","16","7","9","26","55.32","123","8.13","15.91","252","187","147","74","14","12","20","10","10","0","0","21","30","54","137","88","38","26","35","42.62"
"722","Ivan Barbashev","STL","C","80","921.13333333333","14","12","8","4","26","86.67","60","23.33","8.87","109","84","82","44","2","9","17","7","6","1","0","18","14","36","86","63","31","201","240","45.58"
"811","Mathieu Joseph","T.B","R","70","795.1","13","13","10","3","26","65.00","95","13.68","7.5","162","126","106","40","9","12","26","13","13","0","0","15","24","28","129","118","14","10","24","29.41"
"821","Ivan Provorov","PHI","D","82","2058.0833333333","7","19","5","14","26","28.89","145","4.83","8.25","294","190","100","28","8","15","32","12","11","0","1","10","92","16","123","138","149","0","1","0.00"
"881","Tyson Jost","COL","C","70","910.41666666667","11","15","7","8","26","60.47","114","9.65","10.48","198","148","126","52","5","9","14","7","7","0","0","15","8","29","48","139","35","55","91","37.67"
"948","Neal Pionk","NYR","D","73","1545.1","6","20","12","8","26","38.24","132","4.55","5.35","245","185","46","12","5","13","35","13","10","3","0","14","60","38","138","131","98","0","1","0.00"
"91","Matt Niskanen","WSH","D","80","1754.5166666667","8","17","8","9","25","39.06","143","5.59","4.91","256","185","51","8","6","18","41","19","18","1","0","15","73","40","167","152","137","0","0","-"
"93","Marc-Edouard Vlasic","S.J","D","72","1515.0666666667","3","22","13","9","25","34.72","100","3.00","5.35","236","152","75","13","6","19","10","5","5","0","0","6","51","24","23","79","114","0","0","-"
"109","Andy Greene","N.J","D","82","1708.3666666667","5","20","12","8","25","37.31","104","4.81","5.23","207","154","52","14","6","9","16","8","8","0","0","6","45","40","67","77","208","0","0","-"
"115","Erik Johnson","COL","D","80","1745.1666666667","7","18","6","12","25","31.65","144","4.86","6.34","283","190","81","13","4","16","38","12","9","2","1","11","41","31","124","102","143","0","0","-"
"508","Brady Skjei","NYR","D","78","1656.2666666667","8","17","9","8","25","36.23","126","6.35","5.87","229","169","67","19","9","12","44","22","22","0","0","13","69","32","178","119","119","1","0","100.00"
"543","Jordan Martinook","CAR","L","82","1187.8333333333","15","10","7","3","25","51.02","146","10.27","20.27","271","218","171","95","10","23","38","19","19","0","0","21","30","53","199","140","46","150","191","43.99"
"603","Mattias Janmark","DAL","C","81","1232.5333333333","6","19","13","6","25","80.65","105","5.71","10.69","176","141","111","58","5","14","24","12","12","0","0","16","36","30","28","87","44","10","16","38.46"
"611","Andrew Copp","WPG","C","69","839.06666666667","11","14","7","7","25","64.10","82","13.41","9.85","139","110","91","56","4","12","6","3","3","0","0","7","27","22","71","72","34","198","160","55.31"
"614","Andre Burakovsky","WSH","L","76","845.53333333333","12","13","8","5","25","69.44","100","12.00","8.4","178","133","112","34","2","12","14","7","7","0","0","8","29","28","35","101","29","7","13","35.00"
"656","Alexander Wennberg","CBJ","C","75","1130.8","2","23","13","10","25","49.02","64","3.13","6.57","111","90","70","34","5","7","12","6","6","0","0","3","29","34","34","56","32","342","364","48.44"
"691","Jake Virtanen","VAN","R","70","1037.3333333333","15","10","8","2","25","62.50","154","9.74","16.19","290","222","141","53","14","16","44","21","21","0","0","12","22","46","154","82","37","5","10","33.33"
"729","Brandon Montour","ANA","D","62","1405.3833333333","5","20","7","13","25","51.02","126","3.97","7.14","266","195","87","18","6","12","40","20","20","0","0","12","60","27","67","96","93","0","0","-"
"773","Pavel Zacha","N.J","C","61","980.85","13","12","5","7","25","53.19","99","13.13","10.48","171","143","113","48","10","6","15","6","5","1","0","6","31","28","68","52","24","348","364","48.88"
"812","Lawson Crouse","ARI","L","81","1048.75","11","14","11","3","25","65.79","131","8.40","12.71","215","184","116","56","9","14","67","21","16","3","2","24","23","25","288","72","44","24","34","41.38"
"908","Michal Kempny","WSH","D","71","1362.2666666667","6","19","7","12","25","32.05","111","5.41","3.7","232","158","45","6","2","6","60","30","30","0","0","15","47","21","84","107","135","0","0","-"
"926","Casey Mittelstadt","BUF","C","77","1035.7833333333","12","13","6","7","25","53.19","118","10.17","10.98","196","157","129","47","2","15","10","5","5","0","0","17","39","31","30","49","16","213","323","39.74"
"294","David Savard","CBJ","D","82","1618.9833333333","8","16","7","9","24","31.58","124","6.45","6.7","234","173","62","18","2","15","36","18","18","0","0","9","38","17","122","108","123","0","0","-"
"609","Miles Wood","N.J","L","63","862.73333333333","10","14","10","4","24","61.54","159","6.29","13.36","253","213","115","65","8","8","91","28","22","3","3","20","33","19","97","114","27","0","2","0.00"
"779","Jordan Greenway","MIN","L","81","1103.9166666667","12","12","7","5","24","66.67","109","11.01","12.15","206","157","123","59","5","19","29","13","12","1","0","17","20","34","57","108","40","31","50","38.27"
"802","Jack Roslovic","WPG","C","77","750.23333333333","9","15","11","4","24","68.57","74","12.16","6.2","125","93","72","30","7","10","4","2","2","0","0","10","18","25","32","52","21","91","118","43.54"
"6","Ron Hainsey","TOR","D","81","1640.7333333333","5","18","6","12","23","24.73","81","6.17","2.76","176","122","38","2","6","7","21","9","8","1","0","3","74","31","91","76","144","1","0","100.00"
"32","Braydon Coburn","T.B","D","74","1192.15","4","19","7","12","23","44.23","113","3.54","4.36","225","160","49","9","4","11","34","17","17","0","0","6","22","17","96","101","62","0","0","-"
"123","Cal Clutterbuck","NYI","R","73","1020","8","15","9","6","23","63.89","95","8.42","13.64","187","146","129","70","3","9","44","14","12","0","2","13","28","20","209","102","40","15","19","44.12"
"167","Kyle Turris","NSH","C","55","863.06666666667","7","16","13","3","23","65.71","78","8.97","6.4","146","114","74","25","1","10","33","15","14","1","0","6","26","19","24","54","15","281","272","50.81"
"284","Brian Dumoulin","PIT","D","76","1597.9166666667","3","20","3","17","23","25.84","99","3.03","4.1","226","156","46","7","6","14","20","10","10","0","0","10","51","39","141","179","129","0","0","-"
"357","Cam Fowler","ANA","D","59","1378.7","5","18","8","10","23","39.66","88","5.68","4.44","207","119","64","11","6","13","20","10","10","0","0","4","43","24","32","62","91","0","0","-"
"377","Nino Niederreiter","MIN","R","46","672.03333333333","9","14","9","5","23","60.53","81","11.11","7.78","142","104","88","41","1","16","10","5","5","0","0","5","18","22","46","65","13","27","16","62.79"
"427","Adam Lowry","WPG","C","78","1141.7833333333","12","11","5","6","23","60.53","105","11.43","12.14","178","146","110","67","6","14","33","12","9","3","0","19","23","42","223","106","49","643","473","57.62"
"451","Matt Nieto","COL","L","64","881.31666666667","4","19","13","6","23","60.53","86","4.65","8.22","140","117","88","38","3","11","8","4","4","0","0","6","11","19","50","73","26","9","8","52.94"
"474","Joel Armia","MTL","R","57","900.23333333333","13","10","7","3","23","58.97","134","9.70","12.31","223","169","115","54","12","17","14","7","7","0","0","12","32","46","113","57","21","5","24","17.24"
"496","Luke Glendening","DET","C","78","1231.5666666667","10","13","9","4","23","48.94","102","9.80","11.65","169","146","116","60","2","10","15","6","5","1","0","4","25","23","198","100","102","658","524","55.67"
"876","Brett Howden","NYR","C","66","985.95","6","17","12","5","23","57.50","74","8.11","9.81","126","111","98","66","8","7","14","7","7","0","0","8","37","28","64","69","47","353","376","48.42"
"900","Filip Hronek","DET","D","46","918.2","5","18","8","10","23","56.10","73","6.85","3.85","164","108","41","5","5","3","30","11","10","0","1","9","47","10","66","80","32","0","0","-"
"902","Troy Stecher","VAN","D","78","1553.5166666667","2","21","11","10","23","37.70","105","1.90","3.91","250","153","63","7","7","20","32","16","16","0","0","26","32","42","91","167","96","0","0","-"
"942","Filip Chytil","NYR","C","75","1033.95","11","12","8","4","23","60.53","133","8.27","15.1","243","189","151","82","14","12","8","4","4","0","0","13","46","25","29","99","21","68","107","38.86"
"248","Jordie Benn","MTL","D","81","1473.7","5","17","6","11","22","30.99","93","5.38","3.77","198","132","20","2","6","11","39","16","15","1","0","8","71","19","124","129","128","0","0","-"
"310","Nic Dowd","WSH","C","64","658.73333333333","8","14","10","4","22","81.48","47","17.02","5.58","89","72","56","33","5","2","20","9","9","0","0","6","22","29","97","97","37","245","227","51.91"
"316","Brenden Dillon","S.J","D","82","1454.9333333333","1","21","11","10","22","30.56","71","1.41","2.75","181","113","28","3","3","11","61","25","23","1","1","8","38","16","202","113","78","0","0","-"
"416","Josh Archibald","ARI","R","68","922.41666666667","12","10","6","4","22","64.71","92","13.04","10.53","164","127","103","48","18","12","15","6","5","1","0","15","8","18","161","114","39","12","25","32.43"
"418","Dylan DeMelo","OTT","D","77","1484.8833333333","4","18","10","8","22","26.19","109","3.67","3.83","215","152","40","5","2","16","32","16","16","0","0","14","55","16","121","140","130","0","0","-"
"449","Markus Granlund","VAN","C","77","1158.25","12","10","6","4","22","56.41","123","9.76","12.62","198","161","111","54","11","5","20","9","9","0","0","10","9","32","46","49","24","149","199","42.82"
"502","Matt Dumba","MIN","D","32","748.03333333333","12","10","5","5","22","48.89","93","12.90","5.7","200","130","61","15","3","11","21","9","8","1","0","8","17","10","60","31","43","0","0","-"
"617","Jason Dickinson","DAL","C","67","896.01666666667","6","16","9","7","22","70.97","94","6.38","9.04","153","125","99","47","7","6","23","10","9","1","0","18","26","30","106","89","50","201","268","42.86"
"798","Roope Hintz","DAL","L","58","815.26666666667","9","13","8","5","22","70.97","99","9.09","10.45","165","129","115","60","7","11","24","12","12","0","0","13","23","33","87","66","36","217","183","54.25"
"76","Troy Brouwer","FLA","R","75","951.66666666667","12","9","8","1","21","65.63","86","13.95","7.79","136","112","69","34","5","4","47","15","11","3","1","17","44","23","177","80","38","19","32","37.25"
"183","Jake Muzzin","L.A","D","50","1076.0833333333","4","17","9","8","21","46.67","78","5.13","2.71","176","112","37","4","1","11","33","15","14","1","0","9","59","9","111","70","92","0","0","-"
"258","Kyle Clifford","L.A","L","72","755.06666666667","11","10","6","4","21","72.41","115","9.57","12.55","195","164","103","60","5","17","96","26","17","6","3","16","16","11","115","91","24","3","5","37.50"
"424","Sean Kuraly","BOS","C","71","977.96666666667","8","13","8","5","21","77.78","134","5.97","9.25","209","163","111","41","16","14","38","16","14","2","0","14","32","34","129","91","35","286","245","53.86"
"540","Adam Pelech","NYI","D","78","1453.1","5","16","7","9","21","36.21","110","4.55","4.54","218","158","54","10","4","11","24","12","12","0","0","4","41","37","149","151","116","0","0","-"
"801","Austin Wagner","L.A","L","62","553.6","12","9","6","3","21","91.30","67","17.91","7.19","119","92","77","42","5","6","16","8","8","0","0","11","18","8","142","53","9","2","4","33.33"
"847","Markus Nutivaara","CBJ","D","80","1414.3833333333","5","16","9","7","21","33.87","99","5.05","4.57","179","132","44","12","1","10","6","3","3","0","0","10","23","25","80","78","61","0","0","-"
"1","Matt Cullen","PIT","C","71","817.18333333333","7","13","9","4","20","62.50","87","8.05","7.57","128","108","73","40","4","6","14","7","7","0","0","9","19","24","32","46","31","320","320","50.00"
"49","David Backes","BOS","R","70","912.71666666667","7","13","5","8","20","48.78","129","5.43","9.97","199","167","93","41","9","15","31","11","8","3","0","15","26","33","140","79","30","176","133","56.96"
"105","Ryan Reaves","VGK","R","80","868.75","9","11","7","4","20","58.82","95","9.47","11.6","160","127","113","72","1","13","74","19","12","4","3","14","11","37","305","89","24","40","54","42.55"
"121","Milan Lucic","EDM","L","79","1045.6333333333","6","14","10","4","20","48.78","74","8.11","9.68","170","126","106","52","3","15","91","29","23","3","3","13","34","27","259","79","22","25","20","55.56"
