"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4979.75","46","23","13","43","105","0.640","4579","4659","49.57","3457","3511","49.61","2426","2430","49.96","220","197","52.76","230.59","219.05","51.28","2288","2267","50.23","1333","1308","50.47","180","160","52.94","13.50","87.77","986","965","50.54","714","679","51.26","134","112","54.47","18.77","83.51","1302","1302","50.00","619","629","49.60","46","48","48.94","7.43","92.37","1954","2073","48.52","1000","1039","49.04","37","33","52.86","3.70","96.82","9.07","91.89","1.010"
"2","Arizona Coyotes","82","4985.7833","30","42","10","24","70","0.427","4285","5252","44.93","3228","4037","44.43","2281","2797","44.92","191","258","42.54","180.82","246.25","42.34","1866","2517","42.57","1110","1495","42.61","153","210","42.15","13.78","85.95","753","1073","41.24","553","772","41.74","99","126","44.00","17.90","83.68","1113","1444","43.53","557","723","43.52","54","84","39.13","9.69","88.38","2012","2358","46.04","1051","1218","46.32","37","45","45.12","3.52","96.31","8.37","90.78","0.991"
"3","Boston Bruins","82","4964.1167","44","31","7","42","95","0.579","5014","4190","54.48","3793","3096","55.06","2721","2197","55.33","232","209","52.61","228.44","185.93","55.13","2271","1816","55.57","1412","1116","55.85","186","172","51.96","13.17","84.59","862","756","53.28","652","574","53.18","106","118","47.32","16.26","79.44","1409","1060","57.07","760","542","58.37","80","54","59.70","10.53","90.04","2368","2056","53.53","1193","976","55.00","39","30","56.52","3.27","96.93","8.53","90.49","0.990"
"4","Buffalo Sabres","82","4984.85","33","37","12","31","78","0.476","4416","4942","47.19","3384","3821","46.97","2492","2816","46.95","199","231","46.28","200.75","231.65","46.43","1934","2155","47.30","1228","1372","47.23","164","190","46.33","13.36","86.15","878","934","48.45","696","707","49.61","104","136","43.33","14.94","80.76","1056","1221","46.38","532","665","44.44","60","54","52.63","11.28","91.88","2104","2426","46.45","1159","1391","45.45","30","37","44.78","2.59","97.34","7.99","91.80","0.998"
"5","Carolina Hurricanes","82","4993.0667","36","31","15","33","87","0.530","4780","4362","52.29","3515","3300","51.58","2493","2320","51.80","212","230","47.96","216.33","197.2","52.31","2090","1927","52.03","1236","1128","52.28","174","176","49.71","14.08","84.40","940","830","53.11","656","588","52.73","116","114","50.43","17.68","80.61","1150","1097","51.18","580","540","51.79","58","62","48.33","10.00","88.52","2267","2025","52.82","1211","1116","52.04","36","51","41.38","2.97","95.43","8.50","90.09","0.986"
"6","Columbus Blue Jackets","82","4969.6667","50","24","8","48","108","0.659","4565","4645","49.57","3420","3466","49.67","2541","2489","50.52","247","193","56.14","221.14","222.78","49.82","2197","2152","50.52","1355","1283","51.36","193","145","57.10","14.24","88.70","979","939","51.04","732","691","51.44","127","101","55.70","17.35","85.38","1218","1213","50.10","623","592","51.28","66","44","60.00","10.59","92.57","1983","2080","48.81","1110","1128","49.60","49","43","53.26","4.41","96.19","9.72","92.25","1.020"
"7","Calgary Flames","82","4973.9333","45","33","4","41","94","0.573","4497","4428","50.39","3302","3317","49.89","2389","2356","50.35","222","219","50.34","196.28","207.66","48.59","2031","2031","50.00","1243","1254","49.78","181","184","49.59","14.56","85.33","813","834","49.36","610","635","49.00","120","128","48.39","19.67","79.84","1218","1197","50.43","633","619","50.56","61","56","52.14","9.64","90.95","2090","2066","50.29","1094","1029","51.53","37","30","55.22","3.38","97.08","9.29","90.70","1.000"
"8","Chicago Blackhawks","82","4979.9833","50","23","9","46","109","0.665","4633","4653","49.89","3348","3427","49.42","2509","2575","49.35","240","212","53.10","214.14","218.65","49.48","2097","2186","48.96","1299","1348","49.07","188","169","52.66","14.47","87.46","800","925","46.38","634","720","46.82","123","115","51.68","19.40","84.03","1297","1261","50.70","665","628","51.43","65","54","54.62","9.77","91.40","2143","2123","50.23","1162","1160","50.04","45","42","51.72","3.87","96.38","9.57","91.77","1.013"
"9","Colorado Avalanche","82","4953.7833","22","56","4","21","48","0.293","4345","4586","48.65","3215","3510","47.81","2304","2603","46.95","165","276","37.41","181.3","212.61","46.02","1799","1984","47.55","1064","1257","45.84","126","222","36.21","11.84","82.34","725","845","46.18","537","646","45.39","87","147","37.18","16.20","77.24","1074","1139","48.53","527","611","46.31","39","75","34.21","7.40","87.73","2138","2189","49.41","1148","1256","47.75","38","47","44.71","3.31","96.26","7.16","89.40","0.966"
"10","Dallas Stars","82","4960.1167","34","37","11","33","79","0.482","4890","4824","50.34","3613","3494","50.84","2506","2442","50.65","222","260","46.06","227.67","230.35","49.71","2321","2293","50.30","1326","1318","50.15","179","211","45.90","13.50","83.99","971","950","50.55","670","686","49.41","118","144","45.04","17.61","79.01","1350","1343","50.13","656","632","50.93","61","67","47.66","9.30","89.40","2150","2087","50.74","1094","1045","51.15","30","42","41.67","2.74","95.98","8.86","89.35","0.982"
"11","Detroit Red Wings","82","5018.5667","33","36","13","24","79","0.482","4286","4548","48.52","3270","3482","48.43","2335","2510","48.19","198","244","44.80","196.51","211.85","48.12","2001","2094","48.86","1234","1313","48.45","167","191","46.65","13.53","85.45","805","888","47.55","624","678","47.93","105","121","46.46","16.83","82.15","1196","1206","49.79","610","635","49.00","62","70","46.97","10.16","88.98","1948","2066","48.53","1011","1103","47.82","28","47","37.33","2.77","95.74","8.48","90.28","0.988"
"12","Edmonton Oilers","82","4991.0833","47","26","9","43","103","0.628","4706","4624","50.44","3505","3330","51.28","2550","2419","51.32","243","207","54.00","228.77","217.07","51.31","2334","2215","51.31","1464","1353","51.97","204","165","55.28","13.93","87.80","1039","953","52.16","775","696","52.69","144","114","55.81","18.58","83.62","1295","1262","50.65","689","657","51.19","60","51","54.05","8.71","92.24","2038","2020","50.22","1025","991","50.84","35","36","49.30","3.41","96.37","9.53","91.44","1.010"
"13","Florida Panthers","82","5007.4333","35","36","11","30","81","0.494","4669","4364","51.69","3618","3445","51.22","2644","2596","50.46","205","231","47.02","207.02","213.38","49.24","1988","2008","49.75","1269","1329","48.85","159","179","47.04","12.53","86.53","742","873","45.94","561","673","45.46","88","125","41.31","15.69","81.43","1246","1135","52.33","708","656","51.91","71","54","56.80","10.03","91.77","2298","2035","53.03","1278","1195","51.68","33","48","40.74","2.58","95.98","7.75","91.10","0.989"
"14","Los Angeles Kings","82","4978.4833","39","35","8","37","86","0.524","5011","4139","54.77","3690","3062","54.65","2554","2120","54.64","199","201","49.75","217.5","189.11","53.49","2274","1982","53.43","1277","1114","53.41","147","161","47.73","11.51","85.55","894","748","54.45","602","535","52.95","100","114","46.73","16.61","78.69","1380","1234","52.79","675","579","53.83","47","47","50.00","6.96","91.88","2331","1833","55.98","1194","917","56.56","46","30","60.53","3.85","96.73","7.79","90.52","0.983"
"15","Minnesota Wild","82","4967.3833","49","25","8","46","106","0.646","4568","4607","49.79","3446","3446","50.00","2528","2465","50.63","263","206","56.08","217.73","180.35","54.70","2093","1837","53.26","1283","1130","53.17","205","159","56.32","15.98","85.93","905","720","55.69","678","534","55.94","152","95","61.54","22.42","82.21","1188","1117","51.54","605","596","50.37","53","64","45.30","8.76","89.26","2103","2313","47.62","1194","1256","48.73","52","42","55.32","4.36","96.66","10.40","91.64","1.020"
"16","Montreal Canadiens","82","4987.3667","47","26","9","44","103","0.628","4735","4484","51.36","3448","3271","51.32","2460","2429","50.32","223","198","52.97","200.02","193.85","50.78","2022","1998","50.30","1200","1205","49.90","172","146","54.09","14.33","87.88","903","849","51.54","656","630","51.01","109","90","54.77","16.62","85.71","1119","1149","49.34","544","575","48.61","63","56","52.94","11.58","90.26","2256","2104","51.74","1189","1126","51.36","48","50","48.98","4.04","95.56","9.07","91.85","1.009"
"17","New Jersey Devils","82","4987.6","28","40","14","25","70","0.427","4042","4546","47.07","3129","3516","47.09","2279","2573","46.97","180","241","42.76","188.52","215.75","46.63","1808","2047","46.90","1183","1330","47.08","146","195","42.82","12.34","85.34","752","812","48.08","579","638","47.58","100","113","46.95","17.27","82.29","1056","1235","46.09","604","692","46.60","46","82","35.94","7.62","88.15","1941","2165","47.27","1033","1170","46.89","31","39","44.29","3.00","96.67","7.90","90.63","0.985"
"18","Nashville Predators","82","4985.75","41","29","12","39","94","0.573","4777","4571","51.10","3546","3461","50.61","2558","2473","50.84","238","220","51.97","203.69","198.54","50.64","2051","1991","50.74","1288","1204","51.69","184","175","51.25","14.29","85.47","775","755","50.65","590","561","51.26","114","122","48.31","19.32","78.25","1276","1236","50.80","698","643","52.05","70","53","56.91","10.03","91.76","2300","2114","52.11","1201","1179","50.46","49","40","55.06","4.08","96.61","9.30","91.10","1.004"
"19","New York Islanders","82","4978.6167","41","29","12","39","94","0.573","4576","5052","47.53","3397","3689","47.94","2480","2616","48.67","239","238","50.10","218.6","227.75","48.97","2210","2459","47.33","1401","1449","49.16","192","181","51.47","13.70","87.51","931","1007","48.04","720","742","49.25","125","124","50.20","17.36","83.29","1279","1452","46.83","681","707","49.06","67","57","54.03","9.84","91.94","1905","2192","46.50","965","1087","47.03","40","52","43.48","4.15","95.22","9.64","90.90","1.005"
"20","New York Rangers","82","4974.2167","48","28","6","45","102","0.622","4512","4685","49.06","3438","3441","49.98","2438","2465","49.72","253","216","53.94","223.72","212.51","51.29","2158","2195","49.58","1254","1306","48.98","205","172","54.38","16.35","86.83","984","958","50.67","702","715","49.54","145","123","54.10","20.66","82.80","1174","1237","48.69","552","591","48.29","60","49","55.05","10.87","91.71","1996","2121","48.48","1060","1076","49.63","40","41","49.38","3.77","96.19","10.38","91.24","1.016"
"21","Ottawa Senators","82","4993.95","44","28","10","38","98","0.598","4592","4865","48.56","3380","3513","49.04","2464","2467","49.97","206","210","49.52","199.61","202.36","49.66","1992","2201","47.51","1173","1228","48.85","139","160","46.49","11.85","86.97","795","862","47.98","597","612","49.38","86","103","45.50","14.41","83.17","1197","1339","47.20","576","616","48.32","53","57","48.18","9.20","90.75","2183","2223","49.55","1179","1163","50.34","59","48","55.14","5.00","95.87","8.36","91.49","0.998"
"22","Philadelphia Flyers","82","5007.7","39","33","10","32","88","0.537","4962","4553","52.15","3636","3244","52.85","2585","2334","52.55","212","231","47.86","219.97","196.72","52.79","2090","1983","51.31","1229","1149","51.68","161","179","47.35","13.10","84.42","870","776","52.86","626","552","53.14","114","117","49.35","18.21","78.80","1220","1207","50.27","603","597","50.25","47","62","43.12","7.79","89.61","2359","2110","52.79","1246","1079","53.59","48","46","51.06","3.85","95.74","8.20","90.10","0.983"
"23","Pittsburgh Penguins","82","4989.8333","50","21","11","46","111","0.677","4818","4856","49.80","3652","3549","50.72","2751","2671","50.74","278","229","54.83","251.16","229.61","52.24","2476","2256","52.32","1598","1432","52.74","236","186","55.92","14.77","87.01","1058","944","52.85","844","754","52.82","158","120","56.83","18.72","84.08","1418","1312","51.94","754","678","52.65","78","66","54.17","10.34","90.27","2025","2177","48.19","1078","1127","48.89","37","36","50.68","3.43","96.81","10.11","91.43","1.015"
"24","San Jose Sharks","82","4955.9333","46","29","7","44","99","0.604","4888","4625","51.38","3543","3266","52.03","2456","2269","51.98","219","200","52.27","229.11","208.31","52.38","2289","2138","51.71","1300","1230","51.38","172","165","51.04","13.23","86.59","1016","902","52.97","737","644","53.37","120","116","50.85","16.28","81.99","1273","1236","50.74","563","586","49.00","52","49","51.49","9.24","91.64","2186","2034","51.80","1088","941","53.62","38","31","55.07","3.49","96.71","8.92","91.19","1.001"
"25","St Louis Blues","82","4964.6167","46","29","7","44","99","0.604","4277","4364","49.50","3208","3229","49.84","2331","2327","50.04","233","216","51.89","197.91","197.03","50.11","2026","2024","50.02","1242","1251","49.82","183","179","50.55","14.73","85.69","773","772","50.03","572","582","49.57","110","110","50.00","19.23","81.10","1253","1252","50.02","670","669","50.04","73","69","51.41","10.90","89.69","1929","1970","49.47","1019","1007","50.30","46","30","60.53","4.51","97.02","10.00","90.72","1.007"
"26","Tampa Bay Lightning","82","4988.1333","42","30","10","38","94","0.573","4605","4415","51.05","3470","3401","50.50","2454","2492","49.62","230","224","50.66","206.27","199.77","50.80","2163","2037","51.50","1320","1305","50.29","196","160","55.06","14.85","87.74","813","826","49.60","604","644","48.40","120","97","55.30","19.87","84.94","1350","1211","52.71","716","661","52.00","76","63","54.68","10.61","90.47","2198","2112","51.00","1080","1125","48.98","29","55","34.52","2.69","95.11","9.37","91.01","1.004"
"27","Toronto Maple Leafs","82","4991.6833","40","27","15","39","95","0.579","4989","4968","50.11","3758","3802","49.71","2617","2673","49.47","250","234","51.65","228.4","226.27","50.23","2456","2264","52.03","1486","1379","51.87","199","186","51.69","13.39","86.51","944","872","51.98","700","647","51.97","139","110","55.82","19.86","83.00","1512","1392","52.07","786","732","51.78","60","76","44.12","7.63","89.62","2118","2301","47.93","1043","1202","46.46","45","44","50.56","4.31","96.34","9.55","91.25","1.008"
"28","Vancouver Canucks","82","4979.55","30","43","9","26","69","0.421","4240","4562","48.17","3116","3528","46.90","2273","2608","46.57","178","241","42.48","178.7","223","44.49","1974","2328","45.89","1197","1498","44.42","150","195","43.48","12.53","86.98","794","948","45.58","611","739","45.26","109","137","44.31","17.84","81.46","1180","1380","46.09","586","759","43.57","41","58","41.41","7.00","92.36","1891","1942","49.33","980","1028","48.80","25","37","40.32","2.55","96.40","7.83","90.76","0.986"
"29","Winnipeg Jets","82","4964.8333","40","35","7","37","87","0.530","4432","4621","48.96","3361","3444","49.39","2448","2548","49.00","246","255","49.10","214.98","213.41","50.18","2108","2105","50.04","1273","1287","49.73","188","193","49.34","14.77","85.00","878","804","52.20","661","600","52.42","130","118","52.42","19.67","80.33","1230","1301","48.60","612","687","47.11","58","75","43.61","9.48","89.08","1964","2091","48.43","1090","1156","48.53","53","54","49.53","4.86","95.33","10.05","89.99","1.000"
"30","Washington Capitals","82","4973.15","55","19","8","53","118","0.720","4678","4377","51.66","3487","3275","51.57","2495","2282","52.23","261","177","59.59","207.48","204.36","50.38","2112","2029","51.00","1268","1174","51.92","195","158","55.24","15.38","86.54","829","887","48.31","605","624","49.23","123","115","51.68","20.33","81.57","1283","1142","52.91","663","550","54.66","72","43","62.61","10.86","92.18","2188","1960","52.75","1120","1009","52.61","62","16","79.49","5.54","98.41","10.46","92.24","1.027"
