"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4972","35","37","10","32","80","0.488","4394","5051","46.52","3278","3855","45.96","2272","2727","45.45","196","248","44.14","198.58","258.76","43.42","2058","2583","44.34","1204","1595","43.02","159","211","42.97","13.21","86.77","836","1116","42.83","591","839","41.33","110","139","44.18","18.61","83.43","1222","1467","45.44","613","756","44.78","49","72","40.50","7.99","90.48","1911","2048","48.27","923","1014","47.65","33","30","52.38","3.58","97.04","8.63","90.91","0.995"
"2","Arizona Coyotes","82","4980.35","39","35","8","35","86","0.524","4725","4855","49.32","3527","3557","49.79","2521","2527","49.94","209","220","48.72","221.77","220.85","50.10","2125","2223","48.87","1265","1292","49.47","164","178","47.95","12.96","86.22","903","988","47.75","646","701","47.96","95","124","43.38","14.71","82.31","1222","1235","49.74","619","591","51.16","69","54","56.10","11.15","90.86","2096","2132","49.57","1070","1083","49.70","39","36","52.00","3.64","96.68","8.29","91.29","0.996"
"3","Boston Bruins","82","4983.5167","49","24","9","47","107","0.652","4848","4376","52.56","3734","3326","52.89","2680","2416","52.59","257","212","54.80","223.39","204.09","52.26","2163","2022","51.68","1362","1320","50.78","208","162","56.22","15.27","87.73","878","839","51.14","673","658","50.56","135","109","55.33","20.06","83.43","1285","1183","52.07","689","662","51.00","73","53","57.94","10.60","91.99","2295","1995","53.50","1162","953","54.94","44","42","51.16","3.79","95.59","9.59","91.23","1.008"
"4","Buffalo Sabres","82","4994.35","33","39","10","28","76","0.463","4688","4644","50.24","3659","3641","50.12","2698","2704","49.94","221","268","45.19","206.73","221.5","48.28","2120","2137","49.80","1320","1386","48.78","181","226","44.47","13.71","83.69","869","933","48.22","647","706","47.82","115","138","45.45","17.77","80.45","1251","1204","50.96","673","680","49.74","66","88","42.86","9.81","87.06","2138","2065","50.87","1235","1174","51.27","36","34","51.43","2.91","97.10","8.19","90.09","0.983"
"5","Carolina Hurricanes","82","4957.9167","46","29","7","44","99","0.604","5350","4355","55.13","4036","3311","54.93","2822","2343","54.64","243","221","52.37","275.71","215.93","56.08","2478","2052","54.70","1470","1217","54.71","194","185","51.19","13.20","84.80","1158","959","54.70","814","687","54.23","129","134","49.05","15.85","80.49","1320","1093","54.70","656","530","55.31","65","51","56.03","9.91","90.38","2373","1863","56.02","1202","964","55.49","39","26","60.00","3.24","97.30","8.61","90.57","0.992"
"6","Columbus Blue Jackets","82","4953.4167","47","31","4","45","98","0.598","4573","4403","50.95","3566","3327","51.73","2592","2418","51.74","256","231","52.57","226.41","208.69","52.04","2187","2060","51.50","1442","1328","52.06","205","192","51.64","14.22","85.54","889","856","50.95","684","667","50.63","123","121","50.41","17.98","81.86","1298","1204","51.88","758","661","53.42","82","71","53.59","10.82","89.26","1967","1909","50.75","1004","962","51.07","37","36","50.68","3.69","96.26","9.88","90.45","1.003"
"7","Calgary Flames","82","4950.9167","50","25","7","50","107","0.652","4968","4275","53.75","3693","3242","53.25","2656","2302","53.57","289","223","56.45","244.27","203.17","54.59","2369","2087","53.16","1491","1278","53.85","235","176","57.18","15.76","86.23","1013","888","53.29","782","653","54.49","172","114","60.14","21.99","82.54","1356","1199","53.07","709","625","53.15","63","62","50.40","8.89","90.08","2152","1800","54.45","1046","867","54.68","44","43","50.57","4.21","95.04","10.88","90.31","1.012"
"8","Chicago Blackhawks","82","4979.3167","36","34","12","33","84","0.512","4770","4874","49.46","3512","3759","48.30","2671","2852","48.36","267","291","47.85","220.48","260.67","45.82","2304","2535","47.61","1422","1602","47.02","215","233","47.99","15.12","85.46","870","1168","42.69","681","905","42.94","129","154","45.58","18.94","82.98","1434","1367","51.20","741","697","51.53","86","79","52.12","11.61","88.67","2089","1955","51.66","1145","1119","50.57","45","52","46.39","3.93","95.35","10.00","89.80","0.998"
"9","Colorado Avalanche","82","4972.7","38","30","14","36","90","0.549","4762","4863","49.48","3547","3539","50.06","2676","2619","50.54","258","244","51.39","219.28","222.79","49.60","2297","2195","51.14","1429","1330","51.79","204","189","51.91","14.28","85.79","948","915","50.89","712","685","50.97","133","129","50.76","18.68","81.17","1349","1280","51.31","717","645","52.64","71","60","54.20","9.90","90.70","2062","2182","48.59","1107","1131","49.46","48","47","50.53","4.34","95.84","9.64","90.68","1.003"
"10","Dallas Stars","82","4962.5667","43","32","7","42","93","0.567","4551","4869","48.31","3375","3578","48.54","2520","2591","49.31","209","200","51.10","217.93","217.44","50.06","2215","2207","50.09","1360","1316","50.82","159","149","51.62","11.69","88.68","961","868","52.54","719","659","52.18","116","89","56.59","16.13","86.49","1254","1339","48.36","641","657","49.38","43","60","41.75","6.71","90.87","1903","2133","47.15","1015","1105","47.88","43","40","51.81","4.24","96.38","8.29","92.28","1.006"
"11","Detroit Red Wings","82","4996.9833","32","40","10","29","74","0.451","4368","4927","46.99","3291","3824","46.25","2394","2761","46.44","224","272","45.16","199.86","252.24","44.21","2062","2389","46.33","1264","1510","45.57","186","205","47.57","14.72","86.42","824","1042","44.16","619","777","44.34","119","138","46.30","19.22","82.24","1238","1347","47.89","645","733","46.81","67","67","50.00","10.39","90.86","1860","2109","46.86","945","1104","46.12","32","58","35.56","3.39","94.75","9.36","90.15","0.995"
"12","Edmonton Oilers","82","4967.6333","35","38","9","32","79","0.482","4425","4725","48.36","3280","3551","48.02","2392","2599","47.93","229","271","45.80","209.26","227.08","47.96","2165","2273","48.78","1310","1356","49.14","198","211","48.41","15.11","84.44","909","990","47.87","679","698","49.31","122","136","47.29","17.97","80.52","1256","1283","49.47","631","658","48.95","76","75","50.33","12.04","88.60","1881","1993","48.55","972","1090","47.14","30","51","37.04","3.09","95.32","9.57","89.57","0.991"
"13","Florida Panthers","82","5001","36","32","14","33","86","0.524","4746","4636","50.59","3661","3498","51.14","2705","2517","51.80","264","273","49.16","222.21","225.65","49.62","2129","2129","50.00","1350","1296","51.02","212","227","48.29","15.70","82.48","846","926","47.74","636","680","48.33","145","147","49.66","22.80","78.38","1283","1203","51.61","714","616","53.68","67","80","45.58","9.38","87.01","2161","2049","51.33","1183","1064","52.65","47","38","55.29","3.97","96.43","9.76","89.15","0.989"
"14","Los Angeles Kings","82","4980.7333","31","42","9","28","71","0.433","4492","4843","48.12","3338","3673","47.61","2359","2578","47.78","199","259","43.45","199.88","223.61","47.20","2036","2265","47.34","1166","1314","47.02","152","207","42.34","13.04","84.25","799","879","47.62","557","643","46.42","95","130","42.22","17.06","79.78","1237","1386","47.16","609","671","47.58","57","77","42.54","9.36","88.52","2018","2174","48.14","1038","1103","48.48","40","43","48.19","3.85","96.10","8.44","89.95","0.984"
"15","Minnesota Wild","82","4968.1","37","36","9","36","83","0.506","4704","4645","50.32","3530","3424","50.76","2567","2419","51.48","210","233","47.40","214.65","203.14","51.38","2111","1935","52.17","1303","1124","53.69","172","185","48.18","13.20","83.54","933","759","55.14","700","549","56.04","112","120","48.28","16.00","78.14","1178","1176","50.04","603","575","51.19","60","65","48.00","9.95","88.70","2118","2172","49.37","1137","1143","49.87","33","43","43.42","2.90","96.24","8.18","90.37","0.985"
"16","Montreal Canadiens","82","4957.7167","44","30","8","41","96","0.585","5279","4627","53.29","3832","3457","52.57","2796","2549","52.31","246","236","51.04","227.04","206.4","52.38","2322","2154","51.88","1395","1308","51.61","193","202","48.86","13.84","84.56","973","906","51.78","716","657","52.15","133","119","52.78","18.58","81.89","1349","1248","51.94","679","651","51.05","60","83","41.96","8.84","87.25","2463","2049","54.59","1242","1107","52.87","46","31","59.74","3.70","97.20","8.80","90.74","0.995"
