"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"17","New Jersey Devils","82","4984.4","31","41","10","28","72","0.439","4338","4796","47.49","3390","3638","48.24","2488","2594","48.96","219","271","44.69","212.35","228.31","48.19","2017","2189","47.96","1313","1353","49.25","169","207","44.95","12.87","84.70","861","816","51.34","647","616","51.23","106","132","44.54","16.38","78.57","1156","1373","45.71","666","737","47.47","63","75","45.65","9.46","89.82","1921","2154","47.14","1043","1111","48.42","42","56","42.86","4.03","94.96","8.80","89.55","0.984"
"18","Nashville Predators","82","4967.4","47","29","6","43","100","0.610","4900","4487","52.20","3696","3408","52.03","2679","2460","52.13","236","212","52.68","224.27","216.46","50.89","2222","2149","50.84","1336","1351","49.72","187","175","51.66","14.00","87.05","892","908","49.56","665","691","49.04","118","111","51.53","17.74","83.94","1330","1241","51.73","671","660","50.41","69","64","51.88","10.28","90.30","2227","1885","54.16","1210","968","55.56","38","35","52.05","3.14","96.38","8.81","91.38","1.002"
"19","New York Islanders","82","4983.1167","48","27","7","43","103","0.628","4328","4779","47.52","3229","3484","48.10","2360","2535","48.21","223","191","53.86","217.67","215.3","50.27","2257","2310","49.42","1393","1394","49.98","194","149","56.56","13.93","89.31","1027","935","52.34","781","731","51.65","138","111","55.42","17.67","84.82","1230","1375","47.22","612","663","48.00","56","38","59.57","9.15","94.27","1697","2029","45.54","856","1019","45.65","20","37","35.09","2.34","96.37","9.45","92.47","1.019"
"20","New York Rangers","82","5002.6667","32","36","14","26","78","0.476","4272","5029","45.93","3248","3816","45.98","2393","2774","46.31","221","267","45.29","214","251.61","45.96","2083","2516","45.29","1280","1533","45.50","178","220","44.72","13.91","85.65","964","1107","46.55","727","801","47.58","127","141","47.39","17.47","82.40","1119","1409","44.26","553","732","43.04","51","79","39.23","9.22","89.21","1756","2069","45.91","958","1088","46.82","38","42","47.50","3.97","96.14","9.24","90.37","0.996"
"21","Ottawa Senators","82","4944.65","29","47","6","29","64","0.390","4377","5385","44.84","3312","4004","45.27","2429","2931","45.32","242","301","44.57","208.07","240.38","46.40","2087","2424","46.26","1266","1424","47.06","203","237","46.14","16.03","83.36","941","1001","48.46","704","746","48.55","142","147","49.13","20.17","80.29","1146","1423","44.61","562","678","45.32","61","90","40.40","10.85","86.73","1836","2479","42.55","985","1373","41.77","32","52","38.10","3.25","96.21","9.96","89.73","0.997"
"22","Philadelphia Flyers","82","4963.8167","37","37","8","34","82","0.500","4740","4857","49.39","3552","3580","49.80","2583","2665","49.22","241","280","46.26","224.8","222.8","50.22","2151","2223","49.18","1312","1341","49.45","198","222","47.14","15.09","83.45","938","883","51.51","709","674","51.27","132","134","49.62","18.62","80.12","1213","1340","47.51","603","667","47.48","66","88","42.86","10.95","86.81","2081","2158","49.09","1087","1144","48.72","38","48","44.19","3.50","95.80","9.33","89.49","0.988"
"23","Pittsburgh Penguins","82","4981.5","44","26","12","42","100","0.610","4796","4902","49.45","3644","3673","49.80","2732","2729","50.03","271","238","53.24","236.84","224.83","51.30","2357","2194","51.79","1538","1391","52.51","227","196","53.66","14.76","85.91","1052","894","54.06","828","685","54.73","141","124","53.21","17.03","81.90","1305","1300","50.10","710","706","50.14","86","72","54.43","12.11","89.80","1998","2243","47.11","1048","1168","47.29","37","33","52.86","3.53","97.17","9.92","91.28","1.012"
"24","San Jose Sharks","82","4962.1333","46","27","9","46","101","0.616","5144","4314","54.39","3815","3237","54.10","2708","2324","53.82","289","258","52.83","249.13","215.69","53.60","2450","2115","53.67","1487","1319","52.99","238","214","52.65","16.01","83.78","1072","939","53.31","800","704","53.19","164","148","52.56","20.50","78.98","1378","1176","53.95","687","615","52.76","74","66","52.86","10.77","89.27","2194","1763","55.45","1081","866","55.52","44","38","53.66","4.07","95.61","10.67","88.90","0.996"
"25","St Louis Blues","82","4980.9833","45","28","9","42","99","0.604","4693","4385","51.70","3531","3247","52.10","2604","2345","52.62","244","220","52.59","226.86","202.55","52.83","2382","2164","52.40","1471","1333","52.46","199","180","52.51","13.53","86.50","977","821","54.34","727","626","53.73","130","118","52.42","17.88","81.15","1405","1343","51.13","744","707","51.27","69","62","52.67","9.27","91.23","1911","1853","50.77","1008","897","52.91","38","34","52.78","3.77","96.21","9.37","90.62","1.000"
"26","Tampa Bay Lightning","82","4979.5667","62","16","4","56","128","0.780","4725","4667","50.31","3604","3542","50.43","2621","2633","49.89","319","221","59.07","228.35","208.58","52.26","2433","2291","51.50","1522","1487","50.58","270","193","58.32","17.74","87.02","921","888","50.91","696","658","51.40","157","125","55.67","22.56","81.00","1512","1403","51.87","826","829","49.91","113","68","62.43","13.68","91.80","2014","2050","49.56","983","1031","48.81","43","27","61.43","4.37","97.38","12.17","91.61","1.038"
"27","Toronto Maple Leafs","82","4959.9833","46","28","8","46","100","0.610","5387","4960","52.06","3975","3847","50.82","2737","2718","50.17","286","249","53.46","256.64","228.05","52.95","2835","2390","54.26","1620","1410","53.47","238","205","53.72","14.69","85.46","1115","914","54.95","819","659","55.41","149","129","53.60","18.19","80.42","1720","1476","53.82","801","751","51.61","89","76","53.94","11.11","89.88","2120","2189","49.20","993","1155","46.23","46","35","56.79","4.63","96.97","10.45","90.84","1.013"
"28","Vancouver Canucks","82","5009.9333","35","36","11","29","81","0.494","4527","4818","48.44","3395","3585","48.64","2433","2597","48.37","219","248","46.90","199.92","221.97","47.39","2090","2456","45.97","1216","1457","45.49","174","203","46.15","14.31","86.07","808","962","45.65","588","735","44.44","101","126","44.49","17.18","82.86","1282","1494","46.18","628","722","46.52","73","77","48.67","11.62","89.34","1993","2016","49.71","1042","1042","50.00","39","44","46.99","3.74","95.78","9.00","90.45","0.995"
"29","Vegas Golden Knights","82","4959.5167","43","32","7","40","93","0.567","5254","4362","54.64","3884","3244","54.49","2815","2400","53.98","246","228","51.90","253.82","206.08","55.19","2529","2082","54.85","1540","1287","54.47","191","181","51.34","12.40","85.94","1063","832","56.09","789","632","55.52","130","130","50.00","16.48","79.43","1466","1250","53.98","751","655","53.41","61","51","54.46","8.12","92.21","2215","1855","54.42","1127","958","54.05","49","37","56.98","4.35","96.14","8.74","90.50","0.992"
"30","Winnipeg Jets","82","4966.65","47","30","5","45","99","0.604","4664","4907","48.73","3530","3720","48.69","2558","2741","48.27","270","243","52.63","217.19","230.49","48.51","2106","2235","48.51","1320","1416","48.25","214","197","52.07","16.21","86.09","852","931","47.78","630","682","48.02","139","128","52.06","22.06","81.23","1254","1304","49.02","690","734","48.46","75","69","52.08","10.87","90.60","2103","2196","48.92","1118","1173","48.80","46","41","52.87","4.11","96.50","10.56","91.13","1.017"
"31","Washington Capitals","82","4977.8333","48","26","8","44","104","0.634","4706","4878","49.10","3567","3644","49.47","2493","2586","49.08","274","248","52.49","226.09","238.32","48.68","2244","2400","48.32","1274","1373","48.13","203","203","50.00","15.93","85.21","860","1089","44.13","605","767","44.10","122","134","47.66","20.17","82.53","1384","1311","51.35","669","606","52.47","81","69","54.00","12.11","88.61","2036","2022","50.17","1060","1049","50.26","60","37","61.86","5.66","96.47","10.99","90.41","1.014"
