"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","5002.3167","44","25","13","40","101","0.616","4648","5086","47.75","3522","3853","47.76","2476","2717","47.68","231","209","52.50","231.84","243.55","48.77","2249","2512","47.24","1340","1499","47.20","198","171","53.66","14.78","88.59","963","1033","48.25","710","757","48.40","149","115","56.44","20.99","84.81","1286","1479","46.51","630","742","45.92","49","56","46.67","7.78","92.45","1928","2144","47.35","963","1070","47.37","26","30","46.43","2.70","97.20","9.33","92.31","1.016"
"2","Arizona Coyotes","82","4999.25","29","41","12","27","70","0.427","4790","5041","48.72","3476","3855","47.42","2450","2643","48.11","206","251","45.08","213.8","240.02","47.11","2220","2321","48.89","1307","1372","48.79","158","199","44.26","12.09","85.50","938","1035","47.54","677","719","48.50","107","144","42.63","15.81","79.97","1282","1286","49.92","630","653","49.10","51","55","48.11","8.10","91.58","2099","2297","47.75","1000","1164","46.21","43","43","50.00","4.30","96.31","8.41","90.50","0.989"
"3","Boston Bruins","82","4982.3667","50","20","12","47","112","0.683","4926","4405","52.79","3734","3333","52.84","2703","2400","52.97","267","211","55.86","235.56","195.45","54.65","2371","2035","53.81","1479","1280","53.61","217","171","55.93","14.67","86.64","892","837","51.59","676","646","51.13","135","114","54.22","19.97","82.35","1479","1198","55.25","803","634","55.88","82","57","58.99","10.21","91.01","2142","1980","51.97","1062","965","52.39","41","34","54.67","3.86","96.48","9.88","91.21","1.011"
"4","Buffalo Sabres","82","4974.0333","25","45","12","24","62","0.378","4491","4751","48.59","3475","3669","48.64","2558","2683","48.81","198","278","41.60","198.07","230.51","46.22","1866","2058","47.55","1182","1286","47.89","155","220","41.33","13.11","82.89","803","881","47.68","597","663","47.38","105","151","41.02","17.59","77.22","1063","1177","47.46","585","623","48.43","50","69","42.02","8.55","88.92","2170","2273","48.84","1222","1258","49.27","35","50","41.18","2.86","96.03","7.74","89.64","0.974"
"5","Carolina Hurricanes","82","4981.95","36","35","11","33","83","0.506","5318","4321","55.17","3929","3315","54.24","2781","2368","54.01","225","253","47.07","247.83","207.78","54.40","2464","2012","55.05","1413","1244","53.18","180","202","47.12","12.74","83.76","1040","873","54.36","711","635","52.82","131","130","50.19","18.42","79.53","1424","1139","55.56","702","609","53.55","49","72","40.50","6.98","88.18","2402","1935","55.38","1252","999","55.62","41","43","48.81","3.27","95.70","8.09","89.32","0.974"
"6","Columbus Blue Jackets","82","4995.4333","45","30","7","39","97","0.591","4932","4700","51.20","3804","3482","52.21","2761","2568","51.81","236","226","51.08","231.87","223.83","50.88","2321","2267","50.59","1426","1410","50.28","183","173","51.40","12.83","87.73","919","955","49.04","685","743","47.97","118","114","50.86","17.23","84.66","1402","1312","51.66","741","667","52.63","65","59","52.42","8.77","91.15","2252","2023","52.68","1208","1012","54.41","48","45","51.61","3.97","95.55","8.55","91.20","0.997"
"7","Calgary Flames","82","4979.6667","37","35","10","35","84","0.512","5334","4706","53.13","3991","3606","52.53","2759","2554","51.93","216","243","47.06","243.48","229.9","51.43","2470","2191","52.99","1448","1322","52.27","188","183","50.67","12.98","86.16","1068","905","54.13","745","663","52.91","124","126","49.60","16.64","81.00","1402","1286","52.16","703","659","51.62","64","57","52.89","9.10","91.35","2345","2086","52.92","1149","1083","51.48","25","52","32.47","2.18","95.20","7.83","90.49","0.983"
"8","Chicago Blackhawks","82","4966.3","33","39","10","32","76","0.463","5320","4836","52.38","3741","3637","50.70","2794","2697","50.88","228","254","47.30","235.6","241.06","49.43","2495","2358","51.41","1436","1437","49.98","183","199","47.91","12.74","86.15","900","1047","46.22","685","799","46.16","116","136","46.03","16.93","82.98","1595","1311","54.89","751","638","54.07","67","63","51.54","8.92","90.13","2410","2104","53.39","1248","1128","52.53","41","47","46.59","3.29","95.83","8.16","90.58","0.987"
"9","Colorado Avalanche","82","4962.1833","43","30","9","41","95","0.579","4506","5076","47.03","3323","3777","46.80","2434","2732","47.12","255","236","51.93","202.78","225.68","47.33","2091","2273","47.91","1267","1353","48.36","193","180","51.74","15.23","86.70","783","909","46.28","591","653","47.51","120","120","50.00","20.30","81.62","1308","1364","48.95","676","700","49.13","73","60","54.89","10.80","91.43","2012","2365","45.97","1045","1243","45.67","50","52","49.02","4.78","95.82","10.48","91.36","1.018"
"10","Dallas Stars","82","4981.2167","42","32","8","38","92","0.561","4814","4668","50.77","3521","3396","50.90","2561","2447","51.14","231","222","50.99","229.62","211.85","52.01","2315","2167","51.65","1353","1240","52.18","181","170","51.57","13.38","86.29","979","804","54.91","726","575","55.80","121","94","56.28","16.67","83.65","1336","1363","49.50","627","665","48.53","60","76","44.12","9.57","88.57","1969","2008","49.51","1016","1045","49.30","43","47","47.78","4.23","95.50","9.02","90.93","0.999"
