"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Detroit Red Wings","82","4983.85","30","39","13","25","73","0.445","4501","4767","48.56","3471","3599","49.09","2491","2613","48.80","212","254","45.49","207.13","225.22","47.91","2063","2277","47.53","1275","1411","47.47","179","203","46.86","14.04","85.61","828","906","47.75","621","662","48.40","123","135","47.67","19.81","79.61","1235","1371","47.39","654","749","46.61","56","68","45.16","8.56","90.92","2021","2100","49.04","1052","1075","49.46","29","46","38.67","2.76","95.72","8.51","90.28","0.988"
"12","Edmonton Oilers","82","4976.4667","36","40","6","31","78","0.476","5027","4855","50.87","3787","3580","51.40","2741","2636","50.98","229","262","46.64","240.71","233.52","50.76","2442","2410","50.33","1478","1431","50.81","188","210","47.24","12.72","85.32","1030","1047","49.59","747","756","49.70","124","142","46.62","16.60","81.22","1412","1363","50.88","731","675","51.99","64","68","48.48","8.76","89.93","2161","1934","52.77","1140","1024","52.68","36","43","45.57","3.16","95.80","8.35","90.06","0.984"
"13","Florida Panthers","82","4972.5333","44","30","8","41","96","0.585","4941","4961","49.90","3853","3789","50.42","2823","2839","49.86","245","243","50.20","239.46","239.5","50.00","2285","2236","50.54","1513","1463","50.84","196","204","49.00","12.95","86.06","873","935","48.29","698","749","48.24","134","140","48.91","19.20","81.31","1412","1301","52.05","815","714","53.30","62","64","49.21","7.61","91.04","2252","2248","50.04","1162","1188","49.45","46","33","58.23","3.96","97.22","8.68","91.44","1.001"
"14","Los Angeles Kings","82","4982.4833","45","29","8","43","98","0.598","4740","4795","49.71","3556","3597","49.71","2545","2537","50.08","237","202","53.99","210.95","230.76","47.76","2189","2283","48.95","1283","1309","49.50","181","153","54.19","14.11","88.31","844","927","47.66","584","670","46.57","125","105","54.35","21.40","84.33","1345","1356","49.80","699","639","52.24","56","48","53.85","8.01","92.49","2123","2067","50.67","1134","1053","51.85","47","45","51.09","4.14","95.73","9.31","92.04","1.014"
"15","Minnesota Wild","82","4978.9333","45","26","11","42","101","0.616","4358","4929","46.93","3342","3634","47.91","2477","2569","49.09","250","229","52.19","214.5","200.51","51.69","2026","2007","50.24","1289","1155","52.74","191","174","52.33","14.82","84.94","960","787","54.95","744","559","57.10","142","111","56.13","19.09","80.14","1066","1220","46.63","545","596","47.77","49","63","43.75","8.99","89.43","1913","2416","44.19","1068","1275","45.58","46","49","48.42","4.31","96.16","10.09","91.09","1.012"
"16","Montreal Canadiens","82","4979.6833","29","40","13","27","71","0.433","5000","5014","49.93","3641","3663","49.85","2687","2650","50.35","207","258","44.52","235.18","229.26","50.64","2271","2278","49.92","1371","1314","51.06","167","205","44.89","12.18","84.40","1028","932","52.45","760","670","53.15","129","148","46.57","16.97","77.91","1243","1346","48.01","611","644","48.69","38","57","40.00","6.22","91.15","2294","2257","50.41","1206","1187","50.40","37","47","44.05","3.07","96.04","7.70","90.26","0.980"
"17","New Jersey Devils","82","4989.8333","44","29","9","39","97","0.591","4566","4847","48.51","3562","3671","49.25","2600","2616","49.85","243","240","50.31","222.38","224.04","49.81","2148","2283","48.48","1382","1427","49.20","192","197","49.36","13.89","86.19","940","856","52.34","738","686","51.83","142","129","52.40","19.24","81.20","1208","1427","45.84","644","741","46.50","50","68","42.37","7.76","90.82","2029","2158","48.46","1085","1058","50.63","48","41","53.93","4.42","96.12","9.35","90.83","1.002"
"18","Nashville Predators","82","5006.6833","53","18","11","47","117","0.713","4927","4788","50.72","3700","3584","50.80","2641","2660","49.82","261","204","56.13","222.74","222.17","50.06","2120","2202","49.05","1296","1397","48.12","203","150","57.51","15.66","89.26","854","921","48.11","648","693","48.32","137","104","56.85","21.14","84.99","1266","1281","49.71","648","704","47.93","66","46","58.93","10.19","93.47","2310","2089","52.51","1206","1109","52.10","51","45","53.13","4.23","95.94","9.88","92.33","1.022"
"19","New York Islanders","82","4983.4667","35","37","10","32","80","0.488","4692","5211","47.38","3466","3948","46.75","2573","2918","46.86","261","293","47.11","217.05","249.68","46.50","2338","2634","47.02","1489","1674","47.08","214","239","47.24","14.37","85.72","1016","1074","48.61","788","837","48.49","148","174","45.96","18.78","79.21","1322","1560","45.87","701","837","45.58","66","65","50.38","9.42","92.23","1969","2193","47.31","977","1127","46.44","40","48","45.45","4.09","95.74","10.14","89.96","1.001"
"20","New York Rangers","82","4979.5","34","39","9","31","77","0.470","4524","5134","46.84","3457","3906","46.95","2538","2899","46.68","228","263","46.44","230.28","254.43","47.51","2261","2537","47.12","1375","1552","46.98","190","219","46.45","13.82","85.89","1052","1090","49.11","789","809","49.37","145","131","52.54","18.38","83.81","1209","1447","45.52","586","743","44.09","45","88","33.83","7.68","88.16","1829","2143","46.05","996","1185","45.67","30","36","45.45","3.01","96.96","8.98","90.93","0.999"
"21","Ottawa Senators","82","4985.0667","28","43","11","26","67","0.409","4676","5088","47.89","3464","3751","48.01","2515","2712","48.12","219","284","43.54","196.65","227.43","46.37","2067","2353","46.76","1205","1366","46.87","170","227","42.82","14.11","83.38","855","934","47.79","648","694","48.29","112","143","43.92","17.28","79.39","1212","1419","46.07","557","672","45.32","58","84","40.85","10.41","87.50","2097","2214","48.64","1114","1172","48.73","44","49","47.31","3.95","95.82","8.71","89.53","0.982"
"22","Philadelphia Flyers","82","4996.85","42","26","14","40","98","0.598","4779","4667","50.59","3597","3437","51.14","2632","2448","51.81","249","236","51.34","224.29","213.53","51.23","2131","2168","49.57","1313","1270","50.83","198","189","51.16","15.08","85.12","896","875","50.59","681","619","52.38","122","133","47.84","17.91","78.51","1235","1293","48.85","632","651","49.26","76","56","57.58","12.03","91.40","2186","2044","51.68","1162","1050","52.53","43","42","50.59","3.70","96.00","9.46","90.36","0.998"
"23","Pittsburgh Penguins","82","4966.3167","47","29","6","45","100","0.610","4965","4630","51.75","3795","3446","52.41","2823","2553","52.51","270","248","52.12","249.35","223.64","52.72","2450","2271","51.90","1544","1431","51.90","216","211","50.59","13.99","85.26","1040","990","51.23","805","759","51.47","146","134","52.14","18.14","82.35","1410","1281","52.40","739","672","52.37","70","77","47.62","9.47","88.54","2122","1983","51.69","1139","1014","52.90","49","34","59.04","4.30","96.65","9.56","90.29","0.999"
"24","San Jose Sharks","82","4985.3833","45","27","10","40","100","0.610","5170","4855","51.57","3800","3474","52.24","2702","2489","52.05","247","226","52.22","236.65","217.65","52.09","2403","2249","51.66","1394","1355","50.71","183","188","49.33","13.13","86.13","1019","963","51.41","726","729","49.90","132","135","49.44","18.18","81.48","1384","1286","51.84","668","626","51.62","51","53","49.04","7.63","91.53","2302","2082","52.51","1186","975","54.88","59","29","67.05","4.97","97.03","9.14","90.92","1.001"
"25","St Louis Blues","82","4966.9333","44","32","6","41","94","0.573","4905","4573","51.75","3664","3295","52.65","2677","2438","52.34","223","222","50.11","220.57","208.79","51.37","2243","2142","51.15","1344","1290","51.03","179","178","50.14","13.32","86.20","810","811","49.97","602","630","48.86","100","121","45.25","16.61","80.79","1433","1331","51.85","742","660","52.92","79","57","58.09","10.65","91.36","2213","1997","52.57","1177","1005","53.94","41","41","50.00","3.48","95.92","8.33","90.89","0.992"
"26","Tampa Bay Lightning","82","4979.6","54","23","5","48","113","0.689","4984","4711","51.41","3766","3584","51.24","2680","2683","49.97","290","234","55.34","231.19","205.28","52.97","2444","2196","52.67","1513","1451","51.05","250","193","56.43","16.52","86.70","948","820","53.62","699","648","51.89","160","115","58.18","22.89","82.25","1496","1376","52.09","814","803","50.34","90","78","53.57","11.06","90.29","2225","2211","50.16","1052","1116","48.52","36","37","49.32","3.42","96.68","10.82","91.28","1.021"
"27","Toronto Maple Leafs","82","4988.0833","49","26","7","42","105","0.640","5002","4966","50.18","3713","3862","49.02","2642","2776","48.76","270","230","54.00","250.35","236.89","51.38","2671","2350","53.20","1592","1448","52.37","231","185","55.53","14.51","87.22","1072","937","53.36","795","691","53.50","151","128","54.12","18.99","81.48","1599","1413","53.09","797","757","51.29","80","57","58.39","10.04","92.47","1947","2216","46.77","911","1191","43.34","36","42","46.15","3.95","96.47","10.22","91.71","1.019"
"28","Vancouver Canucks","82","4972.9833","31","40","11","31","73","0.445","4472","4801","48.23","3370","3649","48.01","2465","2644","48.25","218","259","45.70","201.1","222.61","47.46","2115","2461","46.22","1288","1465","46.79","186","202","47.94","14.44","86.21","871","922","48.58","646","690","48.35","130","130","50.00","20.12","81.16","1244","1539","44.70","642","775","45.31","56","72","43.75","8.72","90.71","1938","1988","49.36","1011","1058","48.86","31","50","38.27","3.07","95.27","8.84","90.20","0.990"
"29","Vegas Golden Knights","82","4985.6833","51","24","7","47","109","0.665","5020","4691","51.69","3734","3512","51.53","2687","2523","51.57","268","225","54.36","230.28","208.3","52.51","2406","2185","52.41","1498","1366","52.30","212","183","53.67","14.15","86.60","861","882","49.40","656","664","49.70","134","127","51.34","20.43","80.87","1545","1303","54.25","842","702","54.53","78","56","58.21","9.26","92.02","2127","2001","51.53","1050","1012","50.92","48","34","58.54","4.57","96.64","9.97","91.08","1.011"
"30","Winnipeg Jets","82","4982.1833","52","20","10","48","114","0.695","4839","4861","49.89","3649","3621","50.19","2643","2613","50.29","273","216","55.83","217.09","212.39","50.55","2165","2131","50.40","1350","1272","51.49","196","170","53.55","14.52","86.64","878","839","51.14","658","625","51.29","118","112","51.30","17.93","82.08","1287","1292","49.90","692","647","51.68","78","58","57.35","11.27","91.04","2134","2237","48.82","1124","1192","48.53","68","45","60.18","6.05","96.22","10.33","91.73","1.021"
"31","Washington Capitals","82","4975.1","49","26","7","46","105","0.640","4548","4981","47.73","3383","3761","47.35","2379","2613","47.66","256","238","51.82","213.03","246.17","46.39","2195","2448","47.28","1288","1441","47.20","196","206","48.76","15.22","85.70","842","1075","43.92","631","774","44.91","112","151","42.59","17.75","80.49","1353","1373","49.63","657","667","49.62","84","55","60.43","12.79","91.75","1981","2109","48.44","967","1051","47.92","49","28","63.64","5.07","97.34","10.76","90.89","1.017"
